Time,Latency
1614143473,79
1614143473,80
1614143473,81
1614143473,82
1614143473,93
1614143474,206
1614143474,87
1614143474,82
1614143474,76
1614143474,87
1614143474,82
1614143474,77
1614143474,168
1614143474,115
1614143475,89
1614143475,77
1614143475,95
1614143475,84
1614143475,80
1614143475,186
1614143475,96
1614143475,79
1614143475,89
1614143475,79
1614143475,75
1614143476,86
1614143476,121
1614143476,152
1614143476,88
1614143476,81
1614143476,78
1614143476,90
1614143476,100
1614143476,95
1614143476,149
1614143477,137
1614143477,96
1614143477,87
1614143477,142
1614143477,93
1614143477,173
1614143477,100
1614143477,105
1614143478,79
1614143478,128
1614143478,83
1614143478,119
1614143478,82
1614143478,75
1614143478,76
1614143478,82
1614143478,93
1614143478,79
1614143478,92
1614143479,119
1614143479,86
1614143479,82
1614143479,95
1614143479,111
1614143479,93
1614143479,122
1614143479,91
1614143479,85
1614143479,79
1614143479,82
1614143480,78
1614143480,81
1614143480,82
1614143480,87
1614143480,88
1614143480,82
1614143480,79
1614143480,85
1614143480,81
1614143480,79
1614143480,79
1614143480,98
1614143481,78
1614143481,83
1614143481,78
1614143481,81
1614143481,81
1614143481,78
1614143481,108
1614143481,99
1614143481,81
1614143481,78
1614143481,92
1614143482,93
1614143482,77
1614143482,94
1614143482,112
1614143482,80
1614143482,83
1614143482,92
1614143482,85
1614143482,81
1614143482,85
1614143482,80
1614143482,77
1614143483,81
1614143483,93
1614143483,85
1614143483,87
1614143483,94
1614143483,101
1614143483,92
1614143483,84
1614143483,108
1614143483,94
1614143483,94
1614143484,102
1614143484,91
1614143484,107
1614143484,76
1614143484,87
1614143484,82
1614143484,84
1614143484,113
1614143484,122
1614143484,88
1614143485,102
1614143485,86
1614143485,88
1614143485,82
1614143485,83
1614143485,100
1614143485,84
1614143485,97
1614143485,92
1614143485,97
1614143485,91
1614143486,90
1614143486,83
1614143486,81
1614143486,83
1614143486,90
1614143486,98
1614143486,91
1614143486,92
1614143486,91
1614143486,89
1614143486,91
1614143487,79
1614143487,90
1614143487,85
1614143487,84
1614143487,89
1614143487,91
1614143487,92
1614143487,89
1614143487,93
1614143487,87
1614143487,93
1614143488,105
1614143488,130
1614143488,182
1614143488,109
1614143488,107
1614143488,123
1614143488,125
1614143488,111
1614143488,116
1614143489,128
1614143489,128
1614143489,109
1614143489,106
1614143489,88
1614143489,87
1614143489,94
1614143489,86
1614143489,100
1614143490,115
1614143490,96
1614143490,95
1614143490,83
1614143490,100
1614143490,94
1614143490,85
1614143490,94
1614143490,87
1614143490,98
1614143490,103
1614143491,102
1614143491,94
1614143491,92
1614143491,89
1614143491,87
1614143491,93
1614143491,81
1614143491,105
1614143491,96
1614143491,108
1614143492,93
1614143492,93
1614143492,87
1614143492,104
1614143492,116
1614143492,95
1614143492,85
1614143492,88
1614143492,90
1614143492,87
1614143492,94
1614143493,110
1614143493,82
1614143493,82
1614143493,81
1614143493,84
1614143493,92
1614143493,104
1614143493,112
1614143493,112
1614143493,94
1614143494,97
1614143494,91
1614143494,95
1614143494,92
1614143494,86
1614143494,96
1614143494,81
1614143494,92
1614143494,103
1614143494,102
1614143494,98
1614143495,91
1614143495,99
1614143495,96
1614143495,85
1614143495,105
1614143495,89
1614143495,92
1614143495,109
1614143495,87
1614143495,98
1614143496,103
1614143496,97
1614143496,88
1614143496,90
1614143496,90
1614143496,89
1614143496,90
1614143496,85
1614143496,117
1614143496,104
1614143496,101
1614143497,92
1614143497,88
1614143497,85
1614143497,96
1614143497,100
1614143497,82
1614143497,100
1614143497,88
1614143497,94
1614143497,93
1614143498,89
1614143498,101
1614143498,93
1614143498,91
1614143498,83
1614143498,84
1614143498,83
1614143498,88
1614143498,94
1614143498,89
1614143498,94
1614143499,95
1614143499,86
1614143499,99
1614143499,84
1614143499,136
1614143499,87
1614143499,101
1614143499,107
1614143499,95
1614143499,100
1614143500,103
1614143500,99
1614143500,113
1614143500,121
1614143500,89
1614143500,95
1614143500,134
1614143500,96
1614143500,126
1614143500,106
1614143501,92
1614143501,86
1614143501,96
1614143501,109
1614143501,91
1614143501,93
1614143501,90
1614143501,91
1614143501,92
1614143501,118
1614143502,94
1614143502,106
1614143502,88
1614143502,94
1614143502,81
1614143502,86
1614143502,86
1614143502,81
1614143502,92
1614143502,85
1614143502,81
1614143503,80
1614143503,85
1614143503,100
1614143503,78
1614143503,75
1614143503,95
1614143503,79
1614143503,81
1614143503,83
