Seconds,Latency
1614388320,210
1614388320,141
1614388320,147
1614388321,102
1614388321,109
1614388321,113
1614388321,108
1614388321,138
1614388321,156
1614388321,95
1614388321,129
1614388321,129
1614388322,127
1614388322,175
1614388322,157
1614388322,95
1614388322,174
1614388322,191
1614388323,175
1614388323,166
1614388323,197
1614388323,142
1614388323,148
1614388323,228
1614388324,234
1614388324,146
1614388324,151
1614388324,212
1614388324,191
1614388325,161
1614388325,173
1614388325,145
1614388325,152
1614388325,172
1614388325,191
1614388326,181
1614388326,146
1614388326,151
1614388326,89
1614388326,183
1614388326,210
1614388326,208
1614388327,165
1614388327,166
1614388327,175
1614388327,180
1614388327,339
1614388328,205
1614388328,187
1614388328,123
1614388328,207
1614388328,210
1614388329,250
1614388329,97
1614388329,190
1614388329,289
1614388329,210
1614388330,191
1614388330,189
1614388330,204
1614388330,189
1614388330,200
1614388331,193
1614388331,165
1614388331,126
1614388331,99
1614388331,129
1614388331,119
1614388332,166
1614388332,134
1614388332,109
1614388332,166
1614388332,140
1614388332,148
1614388332,163
1614388333,101
1614388333,226
1614388333,221
1614388333,188
1614388333,94
1614388333,228
1614388334,200
1614388334,205
1614388334,90
1614388334,110
1614388334,198
1614388334,215
1614388335,182
1614388335,87
1614388335,169
1614388335,166
1614388335,89
1614388335,258
1614388336,213
1614388336,160
1614388336,88
1614388336,153
1614388336,179
1614388336,184
1614388337,247
1614388337,113
1614388337,132
1614388337,90
1614388337,98
1614388337,211
1614388337,154
1614388338,271
1614388338,203
1614388338,231
1614388338,166
1614388338,174
1614388339,185
1614388339,349
1614388339,281
1614388339,110
1614388340,187
1614388340,221
1614388340,276
1614388340,159
1614388340,185
1614388341,213
1614388341,182
1614388341,197
1614388341,215
1614388341,170
1614388342,165
1614388342,169
1614388342,159
1614388342,214
1614388342,172
1614388342,161
1614388343,214
1614388343,176
1614388343,184
1614388343,101
1614388343,87
1614388343,135
1614388344,157
1614388344,162
1614388344,157
1614388344,129
1614388344,135
1614388344,147
1614388344,133
1614388345,172
1614388345,158
1614388345,110
1614388345,102
1614388345,146
1614388345,148
1614388345,157
1614388346,169
1614388346,115
1614388346,172
1614388346,108
1614388346,184
1614388346,218
1614388347,144
1614388347,144
1614388347,136
1614388347,136
1614388347,174
1614388347,150
1614388347,181
1614388348,169
1614388348,177
1614388348,222
1614388348,215
1614388348,154
1614388349,200
1614388349,250
1614388349,232
1614388349,157
1614388349,174
1614388350,170
1614388350,196
1614388350,208
1614388350,141
1614388350,180
1614388350,146
1614388351,176
1614388351,171
1614388351,172
1614388351,155
1614388351,236
1614388352,202
1614388352,159
1614388352,227
1614388352,207
1614388352,227
1614388353,180
1614388353,192
1614388353,147
1614388353,144
1614388353,172
1614388353,159
1614388354,151
1614388354,158
1614388354,223
1614388354,264
1614388354,245
1614388355,94
1614388355,185
1614388355,145
1614388355,260
1614388355,120
1614388355,195
1614388356,115
1614388356,132
1614388356,82
1614388356,184
1614388356,210
1614388356,152
1614388356,135
1614388357,197
1614388357,219
1614388357,171
1614388357,176
1614388357,155
1614388358,198
1614388358,186
1614388358,163
1614388358,194
1614388358,205
1614388358,218
1614388359,145
1614388359,175
1614388359,205
1614388359,155
1614388359,146
1614388360,220
1614388360,199
1614388360,179
1614388360,174
1614388360,238
1614388361,277
1614388361,319
1614388361,223
1614388361,220
1614388362,173
1614388362,274
1614388362,215
1614388362,273
1614388362,244
1614388363,307
1614388363,242
1614388363,204
1614388363,255
1614388364,183
1614388364,344
1614388364,394
1614388365,329
1614388365,234
1614388365,405
1614388366,182
1614388366,137
1614388366,159
1614388366,94
1614388366,218
1614388366,292
1614388367,161
1614388367,100
1614388367,209
1614388367,216
1614388367,262
1614388368,193
1614388368,183
1614388368,223
1614388368,183
1614388368,260
1614388369,154
1614388369,185
1614388369,199
1614388369,172
1614388369,155
1614388370,256
1614388370,138
1614388370,131
1614388370,198
1614388370,144
1614388370,135
1614388371,213
1614388371,145
1614388371,253
1614388371,142
1614388371,221
1614388372,232
1614388372,295
1614388372,150
1614388372,246
1614388372,270
1614388373,280
1614388373,175
1614388373,234
1614388373,182
1614388374,246
1614388374,144
1614388374,308
1614388374,163
1614388375,241
1614388375,185
1614388375,240
1614388375,303
1614388375,217
1614388376,256
1614388376,295
1614388376,241
1614388376,454
1614388377,372
1614388377,239
1614388378,515
1614388378,213
1614388378,374
1614388379,338
1614388379,281
1614388379,234
1614388380,154
1614388380,159
1614388380,187
1614388380,350
1614388380,193
1614388381,173
1614388381,118
1614388381,92
1614388381,231
1614388381,478
1614388382,137
1614388382,143
1614388382,197
1614388382,243
1614388382,238
1614388383,287
1614388383,262
1614388383,186
1614388383,102
1614388383,182
1614388384,203
1614388384,173
1614388384,144
1614388384,196
1614388384,278
1614388385,199
1614388385,149
1614388385,180
1614388385,140
1614388385,163
1614388385,94
1614388386,207
1614388386,233
1614388386,170
1614388386,186
1614388386,218
1614388387,213
1614388387,367
1614388387,312
1614388387,207
1614388388,290
1614388388,243
1614388388,336
1614388389,228
1614388389,219
1614388389,252
1614388389,324
1614388390,416
1614388390,280
1614388390,226
1614388390,380
1614388391,172
1614388391,343
1614388391,442
1614388392,239
1614388392,320
1614388392,477
1614388393,361
1614388393,335
1614388394,434
1614388394,523
1614388395,551
1614388395,334
1614388395,210
1614388396,269
1614388396,411
1614388396,184
1614388396,276
1614388397,157
