#Timestamp,Adds,Deletes,Queries
1609197694,3858,3072,0
1609198869,0,0,1
1609199127,0,0,1
1609199296,0,0,1
1609199354,0,0,1
1609199417,0,0,1
1609199478,208,66,0
1609199663,0,0,1
1609199779,0,0,1
1609199853,0,0,1
1609200004,0,0,1
1609200205,0,0,1
1609201301,214,69,0
1609203072,278,121,0
1609204871,268,72,0
1609209459,652,280,0
1609209474,0,0,1
1609210531,0,0,1
1609210531,0,0,1
1609210669,0,0,1
1609210827,0,0,1
1609211236,215,65,0
1609213009,236,103,0
1609214653,0,0,1
1609214666,0,0,1
1609214707,0,0,1
1609215216,277,56,0
1609217009,273,150,0
1609218836,209,89,0
1609219233,0,0,1
1609219245,0,0,1
1609219274,0,0,1
1609219572,0,0,1
1609219762,0,0,1
1609220087,0,0,1
1609220640,165,188,0
1609221679,0,0,1
1609221844,0,0,1
1609222113,0,0,1
1609222187,0,0,1
1609222456,214,79,0
1609222471,0,0,1
1609222598,0,0,1
1609222634,0,0,1
1609222783,0,0,1
1609222941,0,0,1
1609223109,0,0,1
1609223177,0,0,1
1609223177,0,0,1
1609223200,0,0,1
1609223218,0,0,1
1609223556,0,0,1
1609223858,0,0,1
1609224270,0,0,1
1609224273,209,62,0
1609258893,4812,2956,0
1609260939,0,0,1
1609260968,0,0,1
1609261872,0,0,1
1609263404,651,1104,0
1609263963,0,0,1
1609264111,0,0,1
1609264126,0,0,1
1609264127,0,0,1
1609264127,0,0,1
1609264149,0,0,1
1609264228,0,0,1
1609264826,0,0,1
1609265110,0,0,1
1609265233,325,72,0
1609265485,0,0,1
1609266845,0,0,1
1609266848,0,0,1
1609267046,369,156,0
1609268839,226,313,0
1609269151,0,0,1
1609269993,0,0,1
1609270342,0,0,1
1609270622,345,124,0
1609283150,0,0,1
1609283175,0,0,1
1609283583,0,0,1
1609283906,0,0,1
1609284344,2181,809,0
1609284491,0,0,1
1609285479,0,0,1
1609286140,305,61,0
1609287931,336,91,0
1609289729,376,308,0
1609291497,0,0,1
1609291499,269,202,0
1609291633,0,0,1
1609291642,0,0,1
1609292511,0,0,1
1609293280,119,98,0
1609294956,0,0,1
1609294986,0,0,1
1609295069,0,0,1
1609295071,212,84,0
1609296853,192,51,0
1609298661,197,34,0
1609301245,0,0,1
1609302130,0,0,1
1609302539,519,194,0
1609302905,0,0,1
1609302947,0,0,1
1609304077,0,0,1
1609304077,0,0,1
1609304108,0,0,1
1609304342,192,253,0
1609304774,0,0,1
1609304949,0,0,1
1609305110,0,0,1
1609305346,0,0,1
1609305402,0,0,1
1609305402,0,0,1
1609305517,0,0,1
1609305923,0,0,1
1609305923,0,0,1
1609306154,214,46,0
1609306185,0,0,1
1609307419,0,0,1
1609307978,300,221,0
1609349835,0,0,1
1609350681,5545,4473,0
1609352489,305,209,0
1609353058,0,0,1
1609353816,0,0,1
1609354002,0,0,1
1609354305,218,33,0
1609354647,0,0,1
1609355007,0,0,1
1609355392,0,0,1
1609355843,0,0,1
1609356076,295,104,0
1609356339,0,0,1
1609356673,0,0,1
1609357042,0,0,1
1609357293,0,0,1
1609357475,0,0,1
1609357595,0,0,1
1609357880,214,33,0
1609357944,0,0,1
1609358260,0,0,1
1609361767,669,65,0
1609361999,0,0,1
1609362701,0,0,1
1609362701,0,0,1
1609362823,0,0,1
1609362980,0,0,1
1609363195,0,0,1
1609363421,0,0,1
1609363593,170,34,0
1609364034,0,0,1
1609374470,1731,1139,0
1609374571,0,0,1
1609374888,0,0,1
1609375544,0,0,1
1609376259,168,251,0
1609377453,0,0,1
1609378066,289,41,0
1609379111,0,0,1
1609379843,193,36,0
1609381615,203,63,0
1609383309,0,0,1
1609383405,259,52,0
1609385218,139,14,0
1609385252,0,0,1
1609387025,297,118,0
1609388507,0,0,1
1609388838,188,172,0
1609390331,0,0,1
1609390835,418,113,0
1609391792,0,0,1
1609392664,264,190,0
1609394462,216,83,0
1609406786,1485,1227,0
1609437325,3565,3172,0
1609441768,716,236,0
1609443697,284,168,0
1609448433,0,0,1
1609452754,1538,712,0
1609452756,0,0,1
1609458945,0,0,1
1609460606,0,0,1
1609462146,0,0,1
1609463909,517,211,0
1609464635,0,0,1
1609467697,0,0,1
1609467865,0,0,1
1609467865,0,0,1
1609468270,0,0,1
1609469423,166,17,0
1609470065,0,0,1
1609470711,1119,186,0
1609475302,1138,182,0
1609477278,413,321,0
1609479086,423,196,0
1609480892,243,67,0
1609482272,0,0,1
1609482426,0,0,1
1609482505,0,0,1
1609482673,327,109,0
1609483102,0,0,1
1609515018,4767,3057,0
1609515338,0,0,1
1609515591,0,0,1
1609516837,188,30,0
1609518667,347,25,0
1609522871,449,897,0
1609522959,0,0,1
1609523339,0,0,1
1609524218,0,0,1
1609524654,310,315,0
1609526445,202,23,0
1609528693,494,63,0
1609550042,0,0,1
1609560297,4025,1779,0
1609562319,245,63,0
1609564228,0,0,1
1609564306,0,0,1
1609564389,0,0,1
1609564677,0,0,1
1609564872,0,0,1
1609564918,295,42,0
1609564930,0,0,1
1609566713,182,21,0
1609566871,0,0,1
1609601962,3643,1921,0
1609602148,0,0,1
1609602225,0,0,1
1609602511,0,0,1
1609602511,0,0,1
1609602512,0,0,1
1609602806,0,0,1
1609603033,0,0,1
1609603387,0,0,1
1609603427,0,0,1
1609603610,0,0,1
1609603744,227,44,0
1609603841,0,0,1
1609603998,0,0,1
1609604121,0,0,1
1609604175,0,0,1
1609604307,0,0,1
1609604676,0,0,1
1609605125,0,0,1
1609605583,189,36,0
1609605670,0,0,1
1609606676,0,0,1
1609607394,225,915,0
1609607429,0,0,1
1609607438,0,0,1
1609607438,0,0,1
1609607547,0,0,1
1609607603,0,0,1
1609608899,0,0,1
1609609212,255,185,0
1609632144,2693,556,0
1609633918,209,29,0
1609635735,169,44,0
1609637555,158,13,0
1609638275,0,0,1
1609638890,0,0,1
1609639270,0,0,1
1609639334,117,9,0
1609641111,256,50,0
1609641763,0,0,1
1609642921,131,19,0
1609644724,157,133,0
1609646498,68,33,0
1609646624,0,0,1
1609647982,0,0,1
1609648311,280,33,0
