# benchmark_updates -numRows=2000000 -pirType=DPF
     NumUpdates  UpdateServerTime[us]  UpdateClientTime[us]           UpdateBytes    ClientBytes  OnlineServerTime[us]  OnlineClientTime[us]    OnlineBytes
         153000                    23                 35631                  5591              0                 51978                   181           1522
         154000                    20                 35707                  5593              0                 72941                   301           1522
         155000                    20                 35234                  5596              0                 50835                   153           1522
         156000                    21                 35109                  5593              0                 51202                   158           1522
         157000                    34                 35335                  5593              0                 84538                   302           1522
         158000                    22                 34927                  5590              0                 51244                   161           1522
         159000                    21                 35451                  5594              0                 51334                   152           1522
         160000                    23                 36075                  5593              0                 52057                   172           1522
         161000                    21                 35977                  5590              0                 53898                   191           1522
         162000                    20                 35898                  5591              0                 52076                   160           1522
         163000                    23                 36109                  5591              0                 57181                   253           1522
         164000                    20                 36003                  5591              0                 51487                   188           1522
         165000                    22                 35366                  5594              0                 52029                   163           1522
         166000                    20                 37141                  5592              0                 52794                   168           1522
         167000                    32                 35264                  5594              0                 53453                   169           1522
         168000                    20                 35551                  5592              0                 52099                   196           1522
         169000                    20                 53520                  5595              0                 52023                   182           1522
         170000                    20                 35340                  5590              0                 51498                   165           1522
         171000                    20                 35290                  5590              0                 51283                   162           1522
         172000                    25                256590                  5592              0                 51980                   169           1522
         173000                    21                 35627                  5592              0                 51373                   161           1522
         174000                    22                 35612                  5592              0                 51621                   167           1522
         175000                    22                 36563                  5592              0                 52557                   164           1522
         176000                    21                 35960                  5590              0                 51990                   168           1522
         177000                    23                 35874                  5590              0                 51958                   155           1522
         178000                    21                 36276                  5590              0                 53140                   180           1522
         179000                    22                 36335                  5593              0                 51797                   148           1522
         180000                    25                 54556                  5593              0                 51844                   195           1522
         181000                    22                 35800                  5593              0                 51475                   171           1522
         182000                    22                 37109                  5590              0                 51483                   164           1522
         183000                    22                336500                  5594              0                 52996                   183           1522
         184000                    22                 36739                  5590              0                 51617                   164           1522
         185000                    24                 36414                  5593              0                 51629                   160           1522
         186000                    19                 55774                  5589              0                 51779                   183           1522
         187000                    21                 35863                  5594              0                 51246                   151           1522
         188000                    21                 35781                  5592              0                 51516                   159           1522
         189000                    22                 36068                  5590              0                 51626                   166           1522
         190000                    22                 36339                  5592              0                 51641                   167           1522
         191000                    23                 35726                  5591              0                 51378                   169           1522
         192000                    19                 54366                  5594              0                 84040                   283           1522
         193000                    21                 35588                  5595              0                 51862                   164           1522
         194000                    20                 35035                  5591              0                 53410                   167           1558
         195000                    21                 36905                  5589              0                 54270                   203           1558
         196000                    30                331065                  5593              0                 53534                   178           1558
         197000                    21                 36430                  5591              0                 54456                   174           1558
         198000                    21                 38243                  5591              0                 54151                   164           1558
         199000                    32                193597                  5593              0                 54725                   196           1558
         200000                    20                 36384                  5588              0                 53688                   282           1558
         201000                    21                 41054                  5587              0                 53815                   175           1558
         202000                    22                 55373                  5589              0                 53871                   181           1558
         203000                    21                 36339                  5594              0                 53505                   159           1558
         204000                    21                 35446                  5594              0                 53738                   164           1558
         205000                    22                 54048                  5594              0                 53752                   184           1558
         206000                    22                 36387                  5590              0                 55886                   175           1558
         207000                    20                 36308                  5592              0                 53343                   160           1558
         208000                    21                 36014                  5595              0                 74099                   266           1558
         209000                    22                 36618                  5589              0                 54592                   170           1558
         210000                    35                 36361                  5595              0                 54456                   165           1558
         211000                    23                 54384                  5586              0                 53381                   176           1558
         212000                    21                 34977                  5592              0                 53231                   178           1558
         213000                    21                 35686                  5589              0                 53298                   158           1558
         214000                    23                 36263                  5592              0                 54095                   176           1558
         215000                    22                 36106                  5593              0                 53995                   173           1558
         216000                    26                 36650                  5591              0                 54026                   171           1558
         217000                    19                 55087                  5590              0                 54479                   190           1558
         218000                    21                 36824                  5594              0                 53814                   179           1558
         219000                    21                 37001                  5593              0                 54169                   171           1558
         220000                    21                 36790                  5592              0                 54637                   162           1558
         221000                    20                 36586                  5592              0                 54058                   160           1558
         222000                    27                 36417                  5588              0                 53868                   160           1558
         223000                    20                 55122                  5589              0                 84383                   277           1558
         224000                    22                 35881                  5594              0                 53855                   158           1558
         225000                    20                 36775                  5593              0                 53818                   164           1558
         226000                    22                 38704                  5596              0                 91881                   277           1558
         227000                    21                 36177                  5593              0                 53993                   171           1558
         228000                    23                 36321                  5594              0                 53912                   168           1558
         229000                    19                 54113                  5591              0                 53951                   189           1558
         230000                    21                 39810                  5592              0                 54376                   179           1558
         231000                    22                 36145                  5587              0                 53638                   170           1558
         232000                    20                 56252                  5588              0                 54133                   192           1558
         233000                    21                 36070                  5586              0                 53524                   169           1558
         234000                    23                 35931                  5593              0                 54153                   186           1558
         235000                    21                 38059                  5590              0                 53883                   161           1558
         236000                    20                 37275                  5593              0                 54150                   175           1558
         237000                    22                 36834                  5588              0                 54073                   158           1558
         238000                    21                 54429                  5593              0                 70747                   253           1558
         239000                    21                 37278                  5593              0                 53634                   155           1558
         240000                    22                 36417                  5594              0                 54540                   167           1558
         241000                    21                 38941                  5593              0                 54983                   166           1558
         242000                    21                 36809                  5595              0                 56186                   174           1558
         243000                    22                 37239                  5592              0                 55499                   168           1558
         244000                    23                 37740                  5588              0                 54366                   179           1558
         245000                    22                 36608                  5591              0                 54296                   172           1558
         246000                    20                 36642                  5594              0                 54732                   195           1558
         247000                    29                293078                  5593              0                 54807                   179           1558
         248000                    21                 37109                  5592              0                 54241                   159           1558
         249000                    21                 38274                  5594              0                 57013                   172           1558
         250000                    22                 37182                  5589              0                 54009                   160           1558
         251000                    27                 37246                  5593              0                 54253                   167           1558
         252000                    19                 87046                  5591              0                 55476                   187           1558
         253000                    22                 37489                  5595              0                 54659                   179           1558
         254000                    22                 36471                  5588              0                 55126                   186           1558
         255000                    24                 58598                  5588              0                 89773                   263           1558
         256000                    21                 38032                  5594              0                 55495                   176           1558
         257000                    21                 37646                  5595              0                 54472                   162           1558
         258000                    21                 59755                  5594              0                 58342                   224           1558
         259000                    22                 37055                  5595              0                 54279                   159           1558
         260000                    21                 38159                  5594              0                 55476                   181           1558
         261000                    22                 37179                  5594              0                 54934                   195           1558
         262000                    20                 37158                  5589              0                 54278                   184           1558
         263000                    21                 36457                  5590              0                 54004                   153           1558
         264000                    23                 60336                  5589              0                 55242                   182           1558
         265000                    26                 36854                  5591              0                 54154                   160           1558
         266000                    20                 39653                  5593              0                 54795                   177           1558
         267000                    22                 56122                  5593              0                 54961                   194           1558
         268000                    22                 36606                  5590              0                 54499                   167           1558
         269000                    22                 37017                  5590              0                 54633                   192           1558
         270000                    24                 37458                  5589              0                 56057                   212           1558
         271000                    20                 37514                  5592              0                 55068                   180           1558
         272000                    21                 37275                  5591              0                 54635                   157           1558
         273000                    23                 38720                  5591              0                 55370                   262           1558
         274000                    21                 37828                  5591              0                 55326                   172           1558
         275000                    21                 39218                  5590              0                 55860                   180           1558
         276000                    20                 37420                  5592              0                 67685                   244           1558
         277000                    22                 38123                  5593              0                 54711                   181           1558
         278000                    24                 38750                  5593              0                 54706                   203           1558
         279000                    21                 59502                  5590              0                 83457                   241           1558
         280000                    21                 36693                  5593              0                 54606                   166           1558
         281000                    37                 37350                  5595              0                 54646                   171           1558
         282000                    35                 40762                  5588              0                 56221                   198           1558
         283000                    20                 37216                  5594              0                 55075                   174           1558
         284000                    21                 37439                  5594              0                 54788                   165           1558
         285000                    23                 56319                  5594              0                 54992                   214           1558
         286000                    21                 37467                  5594              0                 55400                   175           1558
         287000                    23                 41862                  5586              0                 55955                   228           1558
